Entity,Code,Year,Population
United States,USA,1950,158804397
United States,USA,1951,160872264
United States,USA,1952,163266026
United States,USA,1953,165909996
United States,USA,1954,168736390
United States,USA,1955,171685337
United States,USA,1956,174705006
United States,USA,1957,177751477
United States,USA,1958,180788387
United States,USA,1959,183786249
United States,USA,1960,186720570
United States,USA,1961,189569850
United States,USA,1962,192313747
United States,USA,1963,194932400
United States,USA,1964,197408497
United States,USA,1965,199733679
United States,USA,1966,201895760
United States,USA,1967,203905081
United States,USA,1968,205805756
United States,USA,1969,207659274
United States,USA,1970,209513340
United States,USA,1971,211384079
United States,USA,1972,213269805
United States,USA,1973,215178797
United States,USA,1974,217114898
United States,USA,1975,219081250
United States,USA,1976,221086427
United States,USA,1977,223135659
United States,USA,1978,225223307
United States,USA,1979,227339321
United States,USA,1980,229476360
United States,USA,1981,231636065
United States,USA,1982,233821851
United States,USA,1983,236030236
United States,USA,1984,238256849
United States,USA,1985,240499822
United States,USA,1986,242763137
United States,USA,1987,245052780
United States,USA,1988,247372258
United States,USA,1989,249725809
United States,USA,1990,252120309
United States,USA,1991,254539371
United States,USA,1992,256990608
United States,USA,1993,259532130
United States,USA,1994,262241204
United States,USA,1995,265163740
United States,USA,1996,268335007
United States,USA,1997,271713634
United States,USA,1998,275175309
United States,USA,1999,278548148
United States,USA,2000,281710914
United States,USA,2001,284607992
United States,USA,2002,287279312
United States,USA,2003,289815567
United States,USA,2004,292354663
United States,USA,2005,294993509
United States,USA,2006,297758977
United States,USA,2007,300608425
United States,USA,2008,303486022
United States,USA,2009,306307565
United States,USA,2010,309011469
United States,USA,2011,311584051
United States,USA,2012,314043885
United States,USA,2013,316400539
United States,USA,2014,318673422
United States,USA,2015,320878312
United States,USA,2016,323015992
United States,USA,2017,325084758
United States,USA,2018,327096263
United States,USA,2019,329064917
United States,USA,2020,331002647